
"* 통계표ID : DT_1IN1002"
"* 통계표명 : 인구, 가구 및 주택 - 읍면동"
"* 수록기간 : ( 5년 : 2010 ~ 2010 )"
"* 출처 : 통계청 조사관리국 인구총조사과"
"* 파일생성일자 : 2013/08/29 16:50:19"

[주석 정보]
"통계표","주1) 가구형태"
,"
       - 일반가구(가구구분 항목 ①~④, 일반가구 내 외국인도 포함)"
,"
         ? 가족으로 이루어진 가구"
,"
         ? 가족과 5인 이하의 남남이 함께 사는 가구"
,"
         ? 1인가구"
,"
         ? 가족이 아닌 남남끼리 함께 사는 5인 이하의 가구"
,"
       - 집단가구"
,"
         ? 비혈연 6인 이상 가구 : 가족이 아닌 남남끼리 함께 사는 6인 이상의 가구(가구구분 항목 ⑤)"
,"
         ? 집단시설가구 : 기숙사나 노인요양시설?보육원 등 사회시설에 집단으로 살고 있는 가구"
,"
       - 외국인가구 : 외국인으로만 구성된 가구"
,"
 주2) 주택이외의 거처에는 오피스텔, 호텔·여관 등 숙박업소의 객실, 기숙사 및 특수 사회시설, 판잣집·비닐하우스 등이 있음"
,"
 주3) 파주시 진동면(3120021)의 (인구/가구/주택)은 파주시 군내면(3120038)에 포함"

[분류/항목 정보]
분류코드,분류/항목명,분류값,분류값명,단위,가중치
"'A","행정구역별(읍면동)","'2303052","숭의2동",,
"'A","행정구역별(읍면동)","'2303054","숭의4동",,
"'A","행정구역별(읍면동)","'2303056","용현2동",,
"'A","행정구역별(읍면동)","'2303057","용현3동",,
"'A","행정구역별(읍면동)","'2303059","용현5동",,
"'A","행정구역별(읍면동)","'2303060","학익1동",,
"'A","행정구역별(읍면동)","'2303061","학익2동",,
"'A","행정구역별(읍면동)","'2303062","도화1동",,
"'A","행정구역별(읍면동)","'2303065","주안1동",,
"'A","행정구역별(읍면동)","'2303066","주안2동",,
"'A","행정구역별(읍면동)","'2303067","주안3동",,
"'A","행정구역별(읍면동)","'2303068","주안4동",,
"'A","행정구역별(읍면동)","'2303069","주안5동",,
"'A","행정구역별(읍면동)","'2303070","주안6동",,
"'A","행정구역별(읍면동)","'2303071","주안7동",,
"'A","행정구역별(읍면동)","'2303072","주안8동",,
"'A","행정구역별(읍면동)","'2303073","관교동",,
"'A","행정구역별(읍면동)","'2303074","문학동",,
"'A","행정구역별(읍면동)","'2303075","숭의1·3동",,
"'A","행정구역별(읍면동)","'2303076","용현1·4동",,
"'A","행정구역별(읍면동)","'2303077","도화2·3동",,
"'A","행정구역별(읍면동)","'23040","연수구",,
"'A","행정구역별(읍면동)","'2304051","옥련1동",,
"'A","행정구역별(읍면동)","'2304052","선학동",,
"'A","행정구역별(읍면동)","'2304053","연수1동",,
"'A","행정구역별(읍면동)","'2304054","연수2동",,
"'A","행정구역별(읍면동)","'2304055","연수3동",,
"'A","행정구역별(읍면동)","'2304056","청학동",,
"'A","행정구역별(읍면동)","'2304057","동춘1동",,
"'A","행정구역별(읍면동)","'2304058","동춘2동",,
"'A","행정구역별(읍면동)","'2304059","동춘3동",,
"'A","행정구역별(읍면동)","'2304060","옥련2동",,
"'A","행정구역별(읍면동)","'2304061","송도동",,
"'A","행정구역별(읍면동)","'23050","남동구",,
"'A","행정구역별(읍면동)","'2305051","구월1동",,
"'A","행정구역별(읍면동)","'2305052","구월2동",,
"'A","행정구역별(읍면동)","'2305053","구월3동",,
"'A","행정구역별(읍면동)","'2305054","구월4동",,
"'A","행정구역별(읍면동)","'2305055","간석1동",,
"'A","행정구역별(읍면동)","'2305056","간석2동",,
"'A","행정구역별(읍면동)","'2305057","간석3동",,
"'A","행정구역별(읍면동)","'2305058","간석4동",,
"'A","행정구역별(읍면동)","'2305059","만수1동",,
"'A","행정구역별(읍면동)","'2305060","만수2동",,
"'A","행정구역별(읍면동)","'2305061","만수3동",,
"'A","행정구역별(읍면동)","'2305062","만수4동",,
"'A","행정구역별(읍면동)","'2305063","만수5동",,
"'A","행정구역별(읍면동)","'2305064","만수6동",,
"'A","행정구역별(읍면동)","'2305065","장수서창동",,
"'A","행정구역별(읍면동)","'2305067","남촌도림동",,
"'A","행정구역별(읍면동)","'2305070","논현고잔동",,
"'A","행정구역별(읍면동)","'2305071","논현동",,
"'A","행정구역별(읍면동)","'23060","부평구",,
"'A","행정구역별(읍면동)","'2306051","부평1동",,
"'A","행정구역별(읍면동)","'2306052","부평2동",,
"'A","행정구역별(읍면동)","'2306053","부평3동",,
"'A","행정구역별(읍면동)","'2306054","부평4동",,
"'A","행정구역별(읍면동)","'2306055","부평5동",,
"'A","행정구역별(읍면동)","'2306056","부평6동",,
"'A","행정구역별(읍면동)","'2306057","산곡1동",,
"'A","행정구역별(읍면동)","'2306058","산곡2동",,
"'A","행정구역별(읍면동)","'2306059","산곡3동",,
"'A","행정구역별(읍면동)","'2306060","산곡4동",,
"'A","행정구역별(읍면동)","'2306061","청천1동",,
"'A","행정구역별(읍면동)","'2306062","청천2동",,
"'A","행정구역별(읍면동)","'2306063","갈산1동",,
"'A","행정구역별(읍면동)","'2306064","갈산2동",,
"'A","행정구역별(읍면동)","'2306065","삼산1동",,
"'A","행정구역별(읍면동)","'2306066","부개1동",,
"'A","행정구역별(읍면동)","'2306067","부개2동",,
"'A","행정구역별(읍면동)","'2306068","부개3동",,
"'A","행정구역별(읍면동)","'2306069","일신동",,
"'A","행정구역별(읍면동)","'2306070","십정1동",,
"'A","행정구역별(읍면동)","'2306071","십정2동",,
"'A","행정구역별(읍면동)","'2306072","삼산2동",,
"'A","행정구역별(읍면동)","'23070","계양구",,
"'A","행정구역별(읍면동)","'2307051","효성1동",,
"'A","행정구역별(읍면동)","'2307052","효성2동",,
"'A","행정구역별(읍면동)","'2307053","계산1동",,
"'A","행정구역별(읍면동)","'2307054","계산2동",,
"'A","행정구역별(읍면동)","'2307055","계산3동",,
"'A","행정구역별(읍면동)","'2307056","작전1동",,
"'A","행정구역별(읍면동)","'2307057","작전2동",,
"'A","행정구역별(읍면동)","'2307058","작전서운동",,
"'A","행정구역별(읍면동)","'2307060","계양1동",,
"'A","행정구역별(읍면동)","'2307061","계양2동",,
"'A","행정구역별(읍면동)","'2307062","계산4동",,
"'A","행정구역별(읍면동)","'23080","서구",,
"'A","행정구역별(읍면동)","'2308051","검암경서동",,
"'A","행정구역별(읍면동)","'2308053","연희동",,
"'A","행정구역별(읍면동)","'2308054","가정1동",,
"'A","행정구역별(읍면동)","'2308055","가정2동",,
"'A","행정구역별(읍면동)","'2308056","가정3동",,
"'A","행정구역별(읍면동)","'2308058","석남1동",,
"'A","행정구역별(읍면동)","'2308059","석남2동",,
"'A","행정구역별(읍면동)","'2308060","석남3동",,
"'A","행정구역별(읍면동)","'2308062","가좌1동",,
"'A","행정구역별(읍면동)","'2308063","가좌2동",,
"'A","행정구역별(읍면동)","'2308064","가좌3동",,
"'A","행정구역별(읍면동)","'2308065","가좌4동",,
"'A","행정구역별(읍면동)","'2308068","검단1동",,
"'A","행정구역별(읍면동)","'2308069","검단2동",,
"'A","행정구역별(읍면동)","'2308070","검단3동",,
"'A","행정구역별(읍면동)","'2308071","검단4동",,
"'A","행정구역별(읍면동)","'2308072","청라동",,
"'A","행정구역별(읍면동)","'2308073","신현원창동",,
"'A","행정구역별(읍면동)","'23310","강화군",,
"'A","행정구역별(읍면동)","'2331011","강화읍",,
"'A","행정구역별(읍면동)","'2331031","선원면",,
"'A","행정구역별(읍면동)","'2331032","불은면",,
"'A","행정구역별(읍면동)","'2331033","길상면",,
"'A","행정구역별(읍면동)","'2331034","화도면",,
"'A","행정구역별(읍면동)","'2331035","양도면",,
"'A","행정구역별(읍면동)","'2331036","내가면",,
"'A","행정구역별(읍면동)","'2331037","하점면",,
"'A","행정구역별(읍면동)","'2331038","양사면",,
"'A","행정구역별(읍면동)","'2331039","송해면",,
"'A","행정구역별(읍면동)","'2331040","교동면",,
"'A","행정구역별(읍면동)","'2331041","삼산면",,
"'A","행정구역별(읍면동)","'2331042","서도면",,
"'A","행정구역별(읍면동)","'23320","옹진군",,
"'A","행정구역별(읍면동)","'2332031","북도면",,
"'A","행정구역별(읍면동)","'2332032","연평면",,
"'A","행정구역별(읍면동)","'2332033","백령면",,
"'A","행정구역별(읍면동)","'2332034","대청면",,
"'A","행정구역별(읍면동)","'2332035","덕적면",,
"'A","행정구역별(읍면동)","'2332036","자월면",,
"'A","행정구역별(읍면동)","'2332037","영흥면",,
"'A","행정구역별(읍면동)","'24","광주광역시",,
"'A","행정구역별(읍면동)","'24010","동구",,
"'A","행정구역별(읍면동)","'2401051","충장동",,
"'A","행정구역별(읍면동)","'2401054","동명동",,
"'A","행정구역별(읍면동)","'2401056","계림1동",,
"'A","행정구역별(읍면동)","'2401058","계림2동",,
"'A","행정구역별(읍면동)","'2401059","산수1동",,
"'A","행정구역별(읍면동)","'2401061","산수2동",,
"'A","행정구역별(읍면동)","'2401062","지산1동",,
"'A","행정구역별(읍면동)","'2401063","지산2동",,
"'A","행정구역별(읍면동)","'2401064","서남동",,
"'A","행정구역별(읍면동)","'2401068","학동",,
"'A","행정구역별(읍면동)","'2401071","학운동",,
"'A","행정구역별(읍면동)","'2401072","지원1동",,
"'A","행정구역별(읍면동)","'2401073","지원2동",,
"'A","행정구역별(읍면동)","'24020","서구",,
"'A","행정구역별(읍면동)","'2402051","양동",,
"'A","행정구역별(읍면동)","'2402053","양3동",,
"'A","행정구역별(읍면동)","'2402054","농성1동",,
"'A","행정구역별(읍면동)","'2402055","농성2동",,
"'A","행정구역별(읍면동)","'2402056","광천동",,
"'A","행정구역별(읍면동)","'2402057","유덕동",,
"'A","행정구역별(읍면동)","'2402058","상무1동",,
"'A","행정구역별(읍면동)","'2402059","상무2동",,
"'A","행정구역별(읍면동)","'2402060","화정1동",,
"'A","행정구역별(읍면동)","'2402061","화정2동",,
"'A","행정구역별(읍면동)","'2402062","화정3동",,
"'A","행정구역별(읍면동)","'2402063","화정4동",,
"'A","행정구역별(읍면동)","'2402064","서창동",,
"'A","행정구역별(읍면동)","'2402066","치평동",,
"'A","행정구역별(읍면동)","'2402067","풍암동",,
"'A","행정구역별(읍면동)","'2402068","금호1동",,
"'A","행정구역별(읍면동)","'2402069","금호2동",,
"'A","행정구역별(읍면동)","'24030","남구",,
"'A","행정구역별(읍면동)","'2403051","양림동",,
"'A","행정구역별(읍면동)","'2403052","방림1동",,
"'A","행정구역별(읍면동)","'2403053","방림2동",,
"'A","행정구역별(읍면동)","'2403054","사직동",,
"'A","행정구역별(읍면동)","'2403057","월산동",,
"'A","행정구역별(읍면동)","'2403060","월산4동",,
"'A","행정구역별(읍면동)","'2403061","월산5동",,
"'A","행정구역별(읍면동)","'2403062","백운1동",,
"'A","행정구역별(읍면동)","'2403063","백운2동",,
"'A","행정구역별(읍면동)","'2403064","주월1동",,
"'A","행정구역별(읍면동)","'2403065","주월2동",,
"'A","행정구역별(읍면동)","'2403066","효덕동",,
"'A","행정구역별(읍면동)","'2403067","송암동",,
"'A","행정구역별(읍면동)","'2403068","봉선1동",,
"'A","행정구역별(읍면동)","'2403069","봉선2동",,
"'A","행정구역별(읍면동)","'2403070","대촌동",,
"'A","행정구역별(읍면동)","'24040","북구",,
"'A","행정구역별(읍면동)","'2404051","중흥1동",,
"'A","행정구역별(읍면동)","'2404052","중흥2동",,
"'A","행정구역별(읍면동)","'2404053","중흥3동",,
"'A","행정구역별(읍면동)","'2404054","중앙동",,
"'A","행정구역별(읍면동)","'2404055","임동",,
"'A","행정구역별(읍면동)","'2404056","신안동",,
"'A","행정구역별(읍면동)","'2404057","용봉동",,
"'A","행정구역별(읍면동)","'2404058","운암1동",,
"'A","행정구역별(읍면동)","'2404059","운암2동",,
"'A","행정구역별(읍면동)","'2404060","운암3동",,
"'A","행정구역별(읍면동)","'2404061","동림동",,
"'A","행정구역별(읍면동)","'2404062","우산동",,
"'A","행정구역별(읍면동)","'2404063","풍향동",,
"'A","행정구역별(읍면동)","'2404064","문화동",,
"'A","행정구역별(읍면동)","'2404065","문흥1동",,
"'A","행정구역별(읍면동)","'2404066","문흥2동",,
"'A","행정구역별(읍면동)","'2404067","두암1동",,
"'A","행정구역별(읍면동)","'2404068","두암2동",,
"'A","행정구역별(읍면동)","'2404069","두암3동",,
"'A","행정구역별(읍면동)","'2404070","삼각동",,
"'A","행정구역별(읍면동)","'2404071","매곡동",,
"'A","행정구역별(읍면동)","'2404072","오치1동",,
"'A","행정구역별(읍면동)","'2404073","오치2동",,
"'A","행정구역별(읍면동)","'2404074","석곡동",,
"'A","행정구역별(읍면동)","'2404077","건국동",,
"'A","행정구역별(읍면동)","'2404078","일곡동",,
"'A","행정구역별(읍면동)","'24050","광산구",,
"'A","행정구역별(읍면동)","'2405051","송정1동",,
"'A","행정구역별(읍면동)","'2405052","송정2동",,
"'A","행정구역별(읍면동)","'2405054","도산동",,
"'A","행정구역별(읍면동)","'2405055","신흥동",,
"'A","행정구역별(읍면동)","'2405056","어룡동",,
"'A","행정구역별(읍면동)","'2405058","우산동",,
"'A","행정구역별(읍면동)","'2405059","월곡1동",,
"'A","행정구역별(읍면동)","'2405060","월곡2동",,
"'A","행정구역별(읍면동)","'2405061","비아동",,
"'A","행정구역별(읍면동)","'2405063","하남동",,
"'A","행정구역별(읍면동)","'2405064","임곡동",,
"'A","행정구역별(읍면동)","'2405065","동곡동",,
"'A","행정구역별(읍면동)","'2405066","평동",,
"'A","행정구역별(읍면동)","'2405067","삼도동",,
"'A","행정구역별(읍면동)","'2405068","본량동",,
"'A","행정구역별(읍면동)","'2405069","첨단1동",,
"'A","행정구역별(읍면동)","'2405070","첨단2동",,
"'A","행정구역별(읍면동)","'2405071","운남동",,
"'A","행정구역별(읍면동)","'2405073","신창동",,
"'A","행정구역별(읍면동)","'2405074","신가동",,
"'A","행정구역별(읍면동)","'2405075","수완동",,
"'A","행정구역별(읍면동)","'25","대전광역시",,
"'A","행정구역별(읍면동)","'25010","동구",,
"'A","행정구역별(읍면동)","'2501053","효동",,
"'A","행정구역별(읍면동)","'2501055","판암1동",,
"'A","행정구역별(읍면동)","'2501056","판암2동",,
"'A","행정구역별(읍면동)","'2501057","용운동",,
"'A","행정구역별(읍면동)","'2501060","자양동",,
"'A","행정구역별(읍면동)","'2501063","가양1동",,
"'A","행정구역별(읍면동)","'2501064","가양2동",,
"'A","행정구역별(읍면동)","'2501065","용전동",,
"'A","행정구역별(읍면동)","'2501068","홍도동",,
"'A","행정구역별(읍면동)","'2501073","대청동",,
"'A","행정구역별(읍면동)","'2501075","산내동",,
"'A","행정구역별(읍면동)","'2501076","중앙동",,
"'A","행정구역별(읍면동)","'2501077","신인동",,
"'A","행정구역별(읍면동)","'2501078","대동",,
"'A","행정구역별(읍면동)","'2501079","성남동",,
"'A","행정구역별(읍면동)","'2501080","삼성동",,
"'A","행정구역별(읍면동)","'25020","중구",,
"'A","행정구역별(읍면동)","'2502051","은행선화동",,
"'A","행정구역별(읍면동)","'2502053","목동",,
"'A","행정구역별(읍면동)","'2502054","중촌동",,
"'A","행정구역별(읍면동)","'2502055","대흥동",,
"'A","행정구역별(읍면동)","'2502056","문창동",,
"'A","행정구역별(읍면동)","'2502057","석교동",,
"'A","행정구역별(읍면동)","'2502058","대사동",,
"'A","행정구역별(읍면동)","'2502059","부사동",,
"'A","행정구역별(읍면동)","'2502060","용두동",,
"'A","행정구역별(읍면동)","'2502062","오류동",,
"'A","행정구역별(읍면동)","'2502063","태평1동",,
"'A","행정구역별(읍면동)","'2502064","태평2동",,
"'A","행정구역별(읍면동)","'2502065","유천1동",,
"'A","행정구역별(읍면동)","'2502066","유천2동",,
"'A","행정구역별(읍면동)","'2502067","문화1동",,
"'A","행정구역별(읍면동)","'2502068","문화2동",,
"'A","행정구역별(읍면동)","'2502069","산성동",,
"'A","행정구역별(읍면동)","'25030","서구",,
"'A","행정구역별(읍면동)","'2503051","복수동",,
"'A","행정구역별(읍면동)","'2503052","도마1동",,
"'A","행정구역별(읍면동)","'2503053","도마2동",,
"'A","행정구역별(읍면동)","'2503054","정림동",,
"'A","행정구역별(읍면동)","'2503055","변동",,
"'A","행정구역별(읍면동)","'2503056","용문동",,
"'A","행정구역별(읍면동)","'2503057","탄방동",,
"'A","행정구역별(읍면동)","'2503059","둔산1동",,
"'A","행정구역별(읍면동)","'2503060","둔산2동",,
"'A","행정구역별(읍면동)","'2503061","괴정동",,
"'A","행정구역별(읍면동)","'2503062","가장동",,
"'A","행정구역별(읍면동)","'2503063","내동",,
"'A","행정구역별(읍면동)","'2503064","갈마1동",,
"'A","행정구역별(읍면동)","'2503065","갈마2동",,
"'A","행정구역별(읍면동)","'2503066","월평1동",,
"'A","행정구역별(읍면동)","'2503067","월평2동",,
"'A","행정구역별(읍면동)","'2503068","월평3동",,
"'A","행정구역별(읍면동)","'2503069","만년동",,
"'A","행정구역별(읍면동)","'2503070","가수원동",,
"'A","행정구역별(읍면동)","'2503071","기성동",,
"'A","행정구역별(읍면동)","'2503072","관저1동",,
"'A","행정구역별(읍면동)","'2503073","관저2동",,
"'A","행정구역별(읍면동)","'2503074","둔산3동",,
"'A","행정구역별(읍면동)","'25040","유성구",,
"'A","행정구역별(읍면동)","'2504051","진잠동",,
"'A","행정구역별(읍면동)","'2504053","온천1동",,
"'A","행정구역별(읍면동)","'2504054","온천2동",,
"'A","행정구역별(읍면동)","'2504055","신성동",,
"'A","행정구역별(읍면동)","'2504057","전민동",,
"'A","행정구역별(읍면동)","'2504059","노은1동",,
"'A","행정구역별(읍면동)","'2504060","노은2동",,
"'A","행정구역별(읍면동)","'2504061","구즉동",,
"'A","행정구역별(읍면동)","'2504063","관평동",,
"'A","행정구역별(읍면동)","'25050","대덕구",,
"'A","행정구역별(읍면동)","'2505051","오정동",,
"'A","행정구역별(읍면동)","'2505052","대화동",,
"'A","행정구역별(읍면동)","'2505053","회덕동",,
"'A","행정구역별(읍면동)","'2505054","비래동",,
"'A","행정구역별(읍면동)","'2505055","중리동",,
"'A","행정구역별(읍면동)","'2505056","법1동",,
"'A","행정구역별(읍면동)","'2505057","법2동",,
"'A","행정구역별(읍면동)","'2505058","신탄진동",,
"'A","행정구역별(읍면동)","'2505059","석봉동",,
"'A","행정구역별(읍면동)","'2505060","덕암동",,
"'A","행정구역별(읍면동)","'2505061","목상동",,
"'A","행정구역별(읍면동)","'2505062","송촌동",,
"'A","행정구역별(읍면동)","'26","울산광역시",,
"'A","행정구역별(읍면동)","'26003","동부",,
"'A","행정구역별(읍면동)","'26004","읍부",,
"'A","행정구역별(읍면동)","'26005","면부",,
"'A","행정구역별(읍면동)","'26010","중구",,
"'A","행정구역별(읍면동)","'2601051","학성동",,
"'A","행정구역별(읍면동)","'2601052","반구1동",,
"'A","행정구역별(읍면동)","'2601053","반구2동",,
"'A","행정구역별(읍면동)","'2601054","복산1동",,
"'A","행정구역별(읍면동)","'2601055","복산2동",,
"'A","행정구역별(읍면동)","'2601056","북정동",,
"'A","행정구역별(읍면동)","'2601059","우정동",,
"'A","행정구역별(읍면동)","'2601060","태화동",,
"'A","행정구역별(읍면동)","'2601061","다운동",,
"'A","행정구역별(읍면동)","'2601062","병영1동",,
"'A","행정구역별(읍면동)","'2601063","병영2동",,
"'A","행정구역별(읍면동)","'2601064","약사동",,
"'A","행정구역별(읍면동)","'2601065","중앙동",,
"'A","행정구역별(읍면동)","'26020","남구",,
"'A","행정구역별(읍면동)","'2602051","신정1동",,
"'A","행정구역별(읍면동)","'2602052","신정2동",,
"'A","행정구역별(읍면동)","'2602053","신정3동",,
"'A","행정구역별(읍면동)","'2602054","신정4동",,
"'A","행정구역별(읍면동)","'2602055","신정5동",,
"'A","행정구역별(읍면동)","'2602056","달동",,
"'A","행정구역별(읍면동)","'2602057","삼산동",,
"'A","행정구역별(읍면동)","'2602058","삼호동",,
"'A","행정구역별(읍면동)","'2602059","무거동",,
"'A","행정구역별(읍면동)","'2602060","옥동",,
"'A","행정구역별(읍면동)","'2602061","야음장생포동",,
"'A","행정구역별(읍면동)","'2602062","대현동",,
"'A","행정구역별(읍면동)","'2602063","수암동",,
"'A","행정구역별(읍면동)","'2602064","선암동",,
"'A","행정구역별(읍면동)","'26030","동구",,
"'A","행정구역별(읍면동)","'2603051","방어동",,
"'A","행정구역별(읍면동)","'2603052","일산동",,
"'A","행정구역별(읍면동)","'2603053","화정동",,
"'A","행정구역별(읍면동)","'2603054","대송동",,
"'A","행정구역별(읍면동)","'2603055","전하1동",,
"'A","행정구역별(읍면동)","'2603058","남목1동",,
"'A","행정구역별(읍면동)","'2603059","남목2동",,
"'A","행정구역별(읍면동)","'2603060","남목3동",,
"'A","행정구역별(읍면동)","'2603061","전하2동",,
"'A","행정구역별(읍면동)","'26040","북구",,
"'A","행정구역별(읍면동)","'2604051","농소1동",,
"'A","행정구역별(읍면동)","'2604052","농소2동",,
"'A","행정구역별(읍면동)","'2604053","농소3동",,
"'A","행정구역별(읍면동)","'2604054","강동동",,
"'A","행정구역별(읍면동)","'2604056","효문동",,
"'A","행정구역별(읍면동)","'2604057","송정동",,
"'A","행정구역별(읍면동)","'2604058","양정동",,
"'A","행정구역별(읍면동)","'2604059","염포동",,
"'A","행정구역별(읍면동)","'26310","울주군",,
"'A","행정구역별(읍면동)","'2631011","온산읍",,
"'A","행정구역별(읍면동)","'2631012","언양읍",,
"'A","행정구역별(읍면동)","'2631013","온양읍",,
"'A","행정구역별(읍면동)","'2631014","범서읍",,
"'A","행정구역별(읍면동)","'2631031","서생면",,
"'A","행정구역별(읍면동)","'2631033","청량면",,
"'A","행정구역별(읍면동)","'2631034","웅촌면",,
"'A","행정구역별(읍면동)","'2631036","두동면",,
"'A","행정구역별(읍면동)","'2631037","두서면",,
"'A","행정구역별(읍면동)","'2631038","상북면",,
"'A","행정구역별(읍면동)","'2631039","삼남면",,
"'A","행정구역별(읍면동)","'2631040","삼동면",,
"'A","행정구역별(읍면동)","'31","경기도",,
"'A","행정구역별(읍면동)","'31003","동부",,
"'A","행정구역별(읍면동)","'31004","읍부",,
"'A","행정구역별(읍면동)","'31005","면부",,
"'A","행정구역별(읍면동)","'31010","수원시",,
"'A","행정구역별(읍면동)","'31011","장안구",,
"'A","행정구역별(읍면동)","'3101154","파장동",,
"'A","행정구역별(읍면동)","'3101155","율천동",,
"'A","행정구역별(읍면동)","'3101156","정자1동",,
"'A","행정구역별(읍면동)","'3101157","정자2동",,
"'A","행정구역별(읍면동)","'3101158","영화동",,
"'A","행정구역별(읍면동)","'3101159","송죽동",,
"'A","행정구역별(읍면동)","'3101160","조원1동",,
"'A","행정구역별(읍면동)","'3101161","연무동",,
"'A","행정구역별(읍면동)","'3101162","정자3동",,
"'A","행정구역별(읍면동)","'3101163","조원2동",,
"'A","행정구역별(읍면동)","'31012","권선구",,
"'A","행정구역별(읍면동)","'3101252","세류1동",,
"'A","행정구역별(읍면동)","'3101253","세류2동",,
"'A","행정구역별(읍면동)","'3101254","세류3동",,
"'A","행정구역별(읍면동)","'3101255","평동",,
"'A","행정구역별(읍면동)","'3101256","서둔동",,
"'A","행정구역별(읍면동)","'3101257","구운동",,
"'A","행정구역별(읍면동)","'3101260","권선1동",,
"'A","행정구역별(읍면동)","'3101261","곡선동",,
"'A","행정구역별(읍면동)","'3101262","입북동",,
"'A","행정구역별(읍면동)","'3101263","금호동",,
"'A","행정구역별(읍면동)","'3101264","권선2동",,
"'A","행정구역별(읍면동)","'31013","팔달구",,
"'A","행정구역별(읍면동)","'3101353","지동",,
"'A","행정구역별(읍면동)","'3101354","우만1동",,
"'A","행정구역별(읍면동)","'3101355","우만2동",,
"'A","행정구역별(읍면동)","'3101356","인계동",,
"'A","행정구역별(읍면동)","'3101367","매교동",,
"'A","행정구역별(읍면동)","'3101368","매산동",,
"'A","행정구역별(읍면동)","'3101369","고등동",,
"'A","행정구역별(읍면동)","'3101370","화서1동",,
"'A","행정구역별(읍면동)","'3101371","화서2동",,
"'A","행정구역별(읍면동)","'3101372","행궁동",,
"'A","행정구역별(읍면동)","'31014","영통구",,
"'A","행정구역별(읍면동)","'3101451","매탄1동",,
"'A","행정구역별(읍면동)","'3101452","매탄2동",,
"'A","행정구역별(읍면동)","'3101453","매탄3동",,
"'A","행정구역별(읍면동)","'3101454","매탄4동",,
"'A","행정구역별(읍면동)","'3101455","원천동",,
"'A","행정구역별(읍면동)","'3101457","영통1동",,
"'A","행정구역별(읍면동)","'3101458","영통2동",,
"'A","행정구역별(읍면동)","'3101459","태장동",,
"'A","행정구역별(읍면동)","'31020","성남시",,
"'A","행정구역별(읍면동)","'31021","수정구",,
"'A","행정구역별(읍면동)","'3102151","신흥1동",,
"'A","행정구역별(읍면동)","'3102152","신흥2동",,
"'A","행정구역별(읍면동)","'3102153","신흥3동",,
"'A","행정구역별(읍면동)","'3102154","태평1동",,
"'A","행정구역별(읍면동)","'3102155","태평2동",,
"'A","행정구역별(읍면동)","'3102156","태평3동",,
"'A","행정구역별(읍면동)","'3102157","태평4동",,
"'A","행정구역별(읍면동)","'3102158","수진1동",,
"'A","행정구역별(읍면동)","'3102159","수진2동",,
"'A","행정구역별(읍면동)","'3102160","단대동",,
"'A","행정구역별(읍면동)","'3102161","산성동",,
"'A","행정구역별(읍면동)","'3102162","양지동",,
"'A","행정구역별(읍면동)","'3102163","복정동",,
"'A","행정구역별(읍면동)","'3102164","신촌동",,
"'A","행정구역별(읍면동)","'3102165","고등동",,
"'A","행정구역별(읍면동)","'3102166","시흥동",,
"'A","행정구역별(읍면동)","'31022","중원구",,
"'A","행정구역별(읍면동)","'3102251","성남동",,
"'A","행정구역별(읍면동)","'3102252","중동",,
"'A","행정구역별(읍면동)","'3102253","금광1동",,
"'A","행정구역별(읍면동)","'3102254","금광2동",,
"'A","행정구역별(읍면동)","'3102255","은행1동",,
"'A","행정구역별(읍면동)","'3102256","은행2동",,
"'A","행정구역별(읍면동)","'3102257","상대원1동",,
"'A","행정구역별(읍면동)","'3102258","상대원2동",,
"'A","행정구역별(읍면동)","'3102259","상대원3동",,
"'A","행정구역별(읍면동)","'3102260","하대원동",,
"'A","행정구역별(읍면동)","'3102261","도촌동",,
"'A","행정구역별(읍면동)","'31023","분당구",,
"'A","행정구역별(읍면동)","'3102351","분당동",,
"'A","행정구역별(읍면동)","'3102352","수내3동",,
"'A","행정구역별(읍면동)","'3102353","수내1동",,
"'A","행정구역별(읍면동)","'3102354","수내2동",,
"'A","행정구역별(읍면동)","'3102355","정자2동",,
"'A","행정구역별(읍면동)","'3102356","정자3동",,
"'A","행정구역별(읍면동)","'3102357","정자1동",,
"'A","행정구역별(읍면동)","'3102358","서현1동",,
"'A","행정구역별(읍면동)","'3102359","서현2동",,
"'A","행정구역별(읍면동)","'3102360","이매1동",,
"'A","행정구역별(읍면동)","'3102361","이매2동",,
"'A","행정구역별(읍면동)","'3102362","야탑1동",,
"'A","행정구역별(읍면동)","'3102363","야탑3동",,
"'A","행정구역별(읍면동)","'3102364","야탑2동",,
"'A","행정구역별(읍면동)","'3102367","구미동",,
"'A","행정구역별(읍면동)","'3102368","운중동",,
"'A","행정구역별(읍면동)","'3102371","금곡동",,
"'A","행정구역별(읍면동)","'3102372","구미1동",,
"'A","행정구역별(읍면동)","'3102374","삼평동",,
"'A","행정구역별(읍면동)","'3102375","판교동",,
"'A","행정구역별(읍면동)","'3102376","백현동",,
"'A","행정구역별(읍면동)","'31030","의정부시",,
"'A","행정구역별(읍면동)","'3103051","의정부1동",,
"'A","행정구역별(읍면동)","'3103052","의정부2동",,
"'A","행정구역별(읍면동)","'3103053","의정부3동",,
"'A","행정구역별(읍면동)","'3103055","호원1동",,
"'A","행정구역별(읍면동)","'3103056","장암동",,
"'A","행정구역별(읍면동)","'3103057","신곡1동",,
"'A","행정구역별(읍면동)","'3103058","신곡2동",,
